Sl.no,BandGap(eV),Intensity(mW/cm2),pH,Electrolyte Molarity (M), RHE bias (V vs RHE),jGB2 (Am-2),PhotocurrentDensity(mA/cm2)
32,2.11,300,13.6,1,0.96,147.4374664,14.74374664
33,2.11,300,13.6,1,0.965,148.3155283,14.83155283
34,2.11,300,13.6,1,0.97,149.181291,14.9181291
35,2.11,300,13.6,1,0.975,150.0351042,15.00351042
36,2.11,300,13.6,1,0.98,150.8773021,15.08773021
37,2.11,300,13.6,1,0.985,151.7082048,15.17082048
38,2.11,300,13.6,1,0.99,152.5281186,15.25281186
39,2.11,300,13.6,1,0.995,153.3373374,15.33373374
40,2.11,300,13.6,1,1,154.1361429,15.41361429
41,2.11,300,13.6,1,1.005,154.9248055,15.49248055
42,2.11,300,13.6,1,1.01,155.7035847,15.57035847
43,2.11,300,13.6,1,1.015,156.47273,15.647273
44,2.11,300,13.6,1,1.02,157.2324812,15.72324812
45,2.11,300,13.6,1,1.025,157.9830691,15.79830691
46,2.11,300,13.6,1,1.03,158.7247156,15.87247156
47,2.11,300,13.6,1,1.035,159.4576346,15.94576346
48,2.11,300,13.6,1,1.04,160.1820321,16.01820321
49,2.11,300,13.6,1,1.045,160.8981065,16.08981065
50,2.11,300,13.6,1,1.05,161.6060495,16.16060495
51,2.11,300,13.6,1,1.055,162.3060457,16.23060457
52,2.11,300,13.6,1,1.06,162.9982735,16.29982735
53,2.11,300,13.6,1,1.065,163.6829051,16.36829051
54,2.11,300,13.6,1,1.07,164.360107,16.4360107
55,2.11,300,13.6,1,1.075,165.03004,16.503004
56,2.11,300,13.6,1,1.08,165.6928596,16.56928596
57,2.11,300,13.6,1,1.085,166.3487163,16.63487163
58,2.11,300,13.6,1,1.09,166.9977556,16.69977556
59,2.11,300,13.6,1,1.095,167.6401186,16.76401186
60,2.11,300,13.6,1,1.1,168.2759417,16.82759417
61,2.11,300,13.6,1,1.105,168.9053573,16.89053573
62,2.11,300,13.6,1,1.11,169.5284934,16.95284934
63,2.11,300,13.6,1,1.115,170.1454744,17.01454744
64,2.11,300,13.6,1,1.12,170.7564208,17.07564208
65,2.11,300,13.6,1,1.125,171.3614495,17.13614495
66,2.11,300,13.6,1,1.13,171.960674,17.1960674
67,2.11,300,13.6,1,1.135,172.5542045,17.25542045
68,2.11,300,13.6,1,1.14,173.142148,17.3142148
69,2.11,300,13.6,1,1.145,173.7246083,17.37246083
70,2.11,300,13.6,1,1.15,174.3016866,17.43016866
71,2.11,300,13.6,1,1.155,174.8734809,17.48734809
72,2.11,300,13.6,1,1.16,175.4400867,17.54400867
73,2.11,300,13.6,1,1.165,176.0015967,17.60015967
74,2.11,300,13.6,1,1.17,176.5581014,17.65581014
75,2.11,300,13.6,1,1.175,177.1096885,17.71096885
76,2.11,300,13.6,1,1.18,177.6564435,17.76564435
77,2.11,300,13.6,1,1.185,178.1984498,17.81984498
78,2.11,300,13.6,1,1.19,178.7357883,17.87357883
79,2.11,300,13.6,1,1.195,179.2685381,17.92685381
80,2.11,300,13.6,1,1.2,179.7967762,17.97967762
81,2.11,300,13.6,1,1.205,180.3205774,18.03205774
82,2.11,300,13.6,1,1.21,180.8400148,18.08400148
83,2.11,300,13.6,1,1.215,181.3551599,18.13551599
84,2.11,300,13.6,1,1.22,181.866082,18.1866082
85,2.11,300,13.6,1,1.225,182.3728489,18.23728489
